distance_km;altitude_m;altitude_moyenne_5;d_plus;d_moins
42,2;20;21,4;0;2
42,3;13;21,4;0;7
42,4;25;22;12;0
42,5;27;20,6;2;0
42,6;25;19,8;0;2
42,7;13;16,8;0;12
42,8;9;14,4;0;4
42,9;10;13,8;1;0
43;15;16;5;0
43,1;22;19,4;7;0
43,2;24;21,6;2;0
43,3;26;22,2;2;0
43,4;21;19,6;0;5
43,5;18;15,8;0;3
43,6;9;12,2;0;9
43,7;5;12;0;4
43,8;8;14,6;3;0
43,9;20;17,4;12;0
44;31;18,6;11;0
44,1;23;19,4;0;8
44,2;11;17,2;0;12
44,3;12;12,2;1;0
44,4;9;9,2;0;3
44,5;6;8,8;0;3
44,6;8;11,4;2;0
44,7;9;14,4;1;0
44,8;25;18,6;16;0
44,9;24;22,8;0;1
45;27;25,4;3;0
45,1;29;25,4;2;0
45,2;22;26,2;0;7
45,3;25;25,2;3;0
45,4;28;23;3;0
45,5;22;22,2;0;6
45,6;18;19,6;0;4
45,7;18;16,2;0;0
45,8;12;16,2;0;6
45,9;11;15,8;0;1
46;22;15,4;11;0
46,1;16;19;0;6
46,2;16;21,4;0;0
46,3;30;21,8;14;0
46,4;23;24,4;0;7
46,5;24;26,6;1;0
46,6;29;26,6;5;0
46,7;27;27,4;0;2
46,8;30;26;3;0
46,9;27;22,6;0;3
47;17;20,2;0;10
47,1;12;18,6;0;5
47,2;15;18;3;0
47,3;22;19,2;7;0
47,4;24;21,8;2;0
47,5;23;23,2;0;1
47,6;25;22;2;0
47,7;22;19,6;0;3
47,8;16;20,6;0;6
47,9;12;19,4;0;4
48;28;20;16;0
48,1;19;22,4;0;9
48,2;25;25,8;6;0
48,3;28;26,4;3;0
48,4;29;29,4;1;0
48,5;31;32,4;2;0
48,6;34;34,8;3;0
48,7;40;37,2;6;0
48,8;40;38,4;0;0
48,9;41;38;1;0
49;37;35,8;0;4
49,1;32;30,8;0;5
49,2;29;27,8;0;3
49,3;15;26,4;0;14
49,4;26;26;11;0
49,5;30;25,2;4;0
49,6;30;28,6;0;0
49,7;25;31;0;5
49,8;32;31,4;7;0
49,9;38;33,2;6;0
50;32;35,6;0;6
50,1;39;37;7;0
50,2;37;37;0;2
50,3;39;37,4;2;0
50,4;38;36,6;0;1
50,5;34;35,6;0;4
50,6;35;34;1;0
50,7;32;32,6;0;3
50,8;31;32,2;0;1
50,9;31;31,8;0;0
51;32;30,4;1;0
51,1;33;29,6;1;0
51,2;25;28,2;0;8
51,3;27;27,6;2;0
51,4;24;25,4;0;3
51,5;29;25,8;5;0
51,6;22;26,2;0;7
51,7;27;27,8;5;0
51,8;29;26,2;2;0
51,9;32;27,2;3;0
52;21;27,2;0;11
52,1;27;26,8;6;0
52,2;27;24,8;0;0
52,3;27;24,2;0;0
52,4;22;21;0;5
52,5;18;17,8;0;4
52,6;11;14,4;0;7
52,7;11;14,4;0;0
52,8;10;16,4;0;1
52,9;22;18,4;12;0
53;28;20,6;6;0
53,1;21;24;0;7
53,2;22;23,2;1;0
53,3;27;19,4;5;0
53,4;18;16,2;0;9
53,5;9;12,8;0;9
53,6;5;9,6;0;4
53,7;5;9;0;0
53,8;11;10,8;6;0
53,9;15;13;4;0
54;18;14,2;3;0
54,1;16;14,8;0;2
54,2;11;14,4;0;5
54,3;14;13,8;3;0
54,4;13;13,6;0;1
54,5;15;16;2;0
54,6;15;17;0;0
54,7;23;20;8;0
54,8;19;21,4;0;4
54,9;28;23,8;9;0
55;22;23,2;0;6
55,1;27;24,2;5;0
55,2;20;22,2;0;7
55,3;24;21;4;0
55,4;18;19,2;0;6
55,5;16;17,4;0;2
55,6;18;16,2;2;0
55,7;11;14,8;0;7
55,8;18;12,8;7;0
55,9;11;12,4;0;7
56;6;14,8;0;5
56,1;16;14;10;0
56,2;23;12,6;7;0
56,3;14;12;0;9
56,4;4;9,8;0;10
56,5;3;6,8;0;1
56,6;5;6,2;2;0
56,7;8;8,4;3;0
56,8;11;9,8;3;0
56,9;15;9,8;4;0
57;10;10,6;0;5
57,1;5;9,8;0;5
57,2;12;8,2;7;0
57,3;7;7,4;0;5
57,4;7;7,2;0;0
57,5;6;5,6;0;1
57,6;4;6,2;0;2
57,7;4;8,2;0;0
57,8;10;7;6;0
57,9;17;9,4;7;0
58;0;12;0;17
58,1;16;12,6;16;0
58,2;17;11,6;1;0
58,3;13;14,6;0;4
58,4;12;14,6;0;1
58,5;15;14,4;3;0
58,6;16;14,4;1;0
58,7;16;14,6;0;0
58,8;13;15,6;0;3
58,9;13;16,2;0;0
59;20;15,8;7;0
59,1;19;16;0;1
59,2;14;15,8;0;5
59,3;14;14,8;0;0
59,4;12;12;0;2
59,5;15;13;3;0
59,6;5;13;0;10
59,7;19;12,4;14;0
59,8;14;9,4;0;5
59,9;9;10,8;0;5
60;0;11,2;0;9
60,1;12;11,2;12;0
60,2;21;14,4;9;0
